zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone
79821,31.97693,-106.59781,Anthony,TX,Texas,TRUE,,7482,241.9,48141,El Paso,{'48141':100},El Paso,48141,FALSE,FALSE,America/Denver
79835,31.93522,-106.58693,Canutillo,TX,Texas,TRUE,,10810,414.2,48141,El Paso,{'48141':100},El Paso,48141,FALSE,FALSE,America/Denver
79836,31.57128,-106.2019,Clint,TX,Texas,TRUE,,5796,116.2,48141,El Paso,{'48141':100},El Paso,48141,FALSE,FALSE,America/Denver
79838,31.49183,-106.17359,Fabens,TX,Texas,TRUE,,6376,114.2,48141,El Paso,{'48141':100},El Paso,48141,FALSE,FALSE,America/Ojinaga
79849,31.56127,-106.25047,San Elizario,TX,Texas,TRUE,,12780,363.9,48141,El Paso,{'48141':100},El Paso,48141,FALSE,FALSE,America/Denver
79853,31.42987,-106.06371,Tornillo,TX,Texas,TRUE,,2624,46.2,48141,El Paso,{'48141':100},El Paso,48141,FALSE,FALSE,America/Denver
79901,31.76003,-106.47978,El Paso,TX,Texas,TRUE,,10138,1988.7,48141,El Paso,{'48141':100},El Paso,48141,FALSE,FALSE,America/Denver
79902,31.78412,-106.4979,El Paso,TX,Texas,TRUE,,20543,1250.4,48141,El Paso,{'48141':100},El Paso,48141,FALSE,FALSE,America/Denver
79903,31.78615,-106.4418,El Paso,TX,Texas,TRUE,,16399,2335,48141,El Paso,{'48141':100},El Paso,48141,FALSE,FALSE,America/Denver
79904,31.85286,-106.44646,El Paso,TX,Texas,TRUE,,34461,1544.4,48141,El Paso,{'48141':100},El Paso,48141,FALSE,FALSE,America/Denver
79905,31.76655,-106.42483,El Paso,TX,Texas,TRUE,,22447,1550.9,48141,El Paso,{'48141':100},El Paso,48141,FALSE,FALSE,America/Denver
79906,31.80924,-106.41651,El Paso,TX,Texas,TRUE,,5139,406.8,48141,El Paso,{'48141':100},El Paso,48141,FALSE,FALSE,America/Denver
79907,31.7075,-106.32682,El Paso,TX,Texas,TRUE,,53277,1563.4,48141,El Paso,{'48141':100},El Paso,48141,FALSE,FALSE,America/Denver
79908,31.85719,-106.38038,El Paso,TX,Texas,TRUE,,5907,72.7,48141,El Paso,{'48141':100},El Paso,48141,FALSE,FALSE,America/Denver
79911,31.89246,-106.54251,El Paso,TX,Texas,TRUE,,5732,96.9,48141,El Paso,{'48141':100},El Paso,48141,FALSE,FALSE,America/Denver
79912,31.84821,-106.53264,El Paso,TX,Texas,TRUE,,80264,1257.8,48141,El Paso,{'48141':100},El Paso,48141,FALSE,FALSE,America/Denver
79915,31.74585,-106.37235,El Paso,TX,Texas,TRUE,,35445,1734.6,48141,El Paso,{'48141':100},El Paso,48141,FALSE,FALSE,America/Denver
79916,31.81397,-106.41816,Fort Bliss,TX,Texas,TRUE,,3039,690.7,48141,El Paso,{'48141':100},El Paso,48141,FALSE,FALSE,America/Denver
79920,31.82472,-106.45173,El Paso,TX,Texas,TRUE,,6,11985.9,48141,El Paso,{'48141':100},El Paso,48141,FALSE,FALSE,America/Denver
79922,31.81507,-106.56101,El Paso,TX,Texas,TRUE,,8236,527.6,48141,El Paso,{'48141':100},El Paso,48141,FALSE,FALSE,America/Denver
79924,31.90245,-106.41325,El Paso,TX,Texas,TRUE,,59729,1862.7,48141,El Paso,{'48141':100},El Paso,48141,FALSE,FALSE,America/Denver
79925,31.79772,-106.36331,El Paso,TX,Texas,TRUE,,39711,921.6,48141,El Paso,{'48141':100},El Paso,48141,FALSE,FALSE,America/Denver
79927,31.64455,-106.27373,El Paso,TX,Texas,TRUE,,41227,532,48141,El Paso,{'48141':100},El Paso,48141,FALSE,FALSE,America/Denver
79928,31.62865,-106.15597,El Paso,TX,Texas,TRUE,,57324,183.8,48141,El Paso,{'48141':100},El Paso,48141,FALSE,FALSE,America/Denver
79930,31.82029,-106.46993,El Paso,TX,Texas,TRUE,,28178,999.9,48141,El Paso,{'48141':100},El Paso,48141,FALSE,FALSE,America/Denver
79932,31.87818,-106.60642,El Paso,TX,Texas,TRUE,,28682,675.9,48141,El Paso,{'48141':100},El Paso,48141,FALSE,FALSE,America/Denver
79934,31.9519,-106.43401,El Paso,TX,Texas,TRUE,,26289,125,48141,El Paso,{'48141':100},El Paso,48141,FALSE,FALSE,America/Denver
79935,31.76791,-106.33018,El Paso,TX,Texas,TRUE,,17434,1987.1,48141,El Paso,{'48141':100},El Paso,48141,FALSE,FALSE,America/Denver
79936,31.77618,-106.29785,El Paso,TX,Texas,TRUE,,112355,1610.6,48141,El Paso,{'48141':100},El Paso,48141,FALSE,FALSE,America/Denver
79938,31.83091,-105.97012,El Paso,TX,Texas,TRUE,,80143,56.7,48141,El Paso,"{'48141':99.51,'48229':0.49}",El Paso|Hudspeth,48141|48229,FALSE,FALSE,America/Denver
80106,39.17264,-104.52902,Elbert,CO,Colorado,TRUE,,5194,9.3,8041,El Paso,"{'08035':1.89,'08039':32.3,'08041':65.81}",El Paso|Elbert|Douglas,08041|08039|08035,FALSE,FALSE,America/Denver
80132,39.09818,-104.84711,Monument,CO,Colorado,TRUE,,20843,248,8041,El Paso,{'08041':100},El Paso,8041,FALSE,FALSE,America/Denver
80133,39.09973,-104.9695,Palmer Lake,CO,Colorado,TRUE,,2558,25.6,8041,El Paso,"{'08035':0.88,'08041':99.12}",El Paso|Douglas,08041|08035,FALSE,FALSE,America/Denver
80808,38.99192,-104.30269,Calhan,CO,Colorado,TRUE,,5544,6.9,8041,El Paso,"{'08039':3.35,'08041':96.65}",El Paso|Elbert,08041|08039,FALSE,FALSE,America/Denver
